Age,Male,Female
0,693400,675700
1,673400,623200
2,633800,590700
3,614600,574000
4,605100,565200
5,598300,558900
6,589600,558500
7,574900,547600
8,560700,537300
9,547300,528200
10,534800,520000
11,522200,512000
12,508300,502800
13,491600,490600
14,471100,474700
15,447800,456000
16,424000,436000
17,400800,416900
18,378500,400500
19,357600,388100
20,338000,378500
21,318700,370100
22,299900,360400
23,283300,348300
24,269300,332800
25,257300,314900
26,246500,296400
27,236000,279200
28,225800,263400
29,215600,249900
30,205600,238200
31,196100,227300
32,187400,216300
33,178900,205700
34,170700,195300
35,162700,185100
36,155000,175400
37,147700,166200
38,141600,158200
39,136900,151600
40,133300,146000
41,130500,141400
42,127400,136700
43,122900,130700
44,116500,122700
45,108700,113500
46,100200,103400
47,92500,94500
48,86500,88600
49,82900,86800
50,80900,87700
51,79800,90400
52,78000,91800
53,74700,90000
54,68900,83300
55,61400,73300
56,53400,62000
57,46400,52400
58,41300,46000
59,39200,44200
60,39000,45700
61,39700,48400
62,39900,50200
63,39100,50100
64,36900,47200
65,33700,42400
66,30200,37000
67,27300,32600
68,25100,29800
69,24100,29300
70,23700,30300
71,23900,32300
72,23800,33600
73,22800,32900
74,20700,29500
75,17800,24400
76,16600,22700
77,14400,18400
78,12200,14300
79,10500,10900
80+,96400,140600
