Age,Male,Female
0,707800,689700
1,681600,664700
2,668200,617900
3,630200,587200
4,611800,571400
5,602800,563100
6,596400,557200
7,587900,557000
8,573400,546300
9,559400,536200
10,546200,527200
11,533800,519100
12,521400,511100
13,507500,501900
14,490700,489800
15,470000,473700
16,446700,455200
17,422900,435100
18,399700,416000
19,377300,399600
20,356400,387200
21,336800,377500
22,317500,369000
23,298700,359300
24,282100,347200
25,268100,331700
26,256100,313800
27,245300,295300
28,234900,278000
29,224700,262300
30,214500,248800
31,204400,237200
32,194900,226200
33,186200,215300
34,177800,204700
35,169500,194300
36,161500,184100
37,153700,174400
38,146500,165300
39,140400,157300
40,135700,150700
41,132100,145000
42,129200,140400
43,126100,135700
44,121700,129800
45,115300,121800
46,107600,112600
47,99100,102600
48,91400,93700
49,85400,87800
50,81800,86000
51,79800,86900
52,78600,89500
53,76900,90900
54,73600,89000
55,67800,82400
56,60500,72500
57,52500,61300
58,45600,51700
59,40600,45400
60,38400,43500
61,38200,45000
62,38800,47600
63,38900,49200
64,38100,49100
65,35900,46200
66,32700,41400
67,29200,36100
68,26400,31700
69,24200,28900
70,23100,28300
71,22700,29200
72,22700,30900
73,22500,32000
74,21500,31200
75,19400,27900
76,16600,22900
77,15400,21200
78,13200,17000
79,11100,13100
80+,90900,129400
