Age,Male,Female
0,750100,731100
1,725100,707100
2,705700,687900
3,687600,670100
4,670300,653300
5,659800,610200
6,623600,581300
7,606300,566600
8,598000,559000
9,592100,553500
10,584100,553700
11,570200,543400
12,556500,533500
13,543600,524700
14,531300,516600
15,518600,508600
16,504500,499400
17,487500,487100
18,466600,471000
19,443300,452500
20,419200,432400
21,396000,413200
22,373500,396700
23,352600,384200
24,333000,374500
25,313900,365900
26,295300,356100
27,278800,344000
28,264900,328500
29,252900,310600
30,242100,292200
31,231700,275000
32,221500,259400
33,211400,246000
34,201300,234300
35,191900,223400
36,183100,212500
37,174700,202000
38,166400,191600
39,158400,181500
40,150700,171800
41,143500,162700
42,137400,154700
43,132700,148100
44,129100,142500
45,126200,137900
46,123100,133200
47,118700,127300
48,112300,119400
49,104600,110300
50,96200,100400
51,88600,91500
52,82600,85700
53,78900,83700
54,76900,84500
55,75700,86900
56,73900,88200
57,70600,86300
58,65000,79700
59,57800,69900
60,50000,59000
61,43200,49700
62,38400,43400
63,36100,41500
64,35700,42600
65,36100,44900
66,36000,46200
67,35000,45800
68,32700,42800
69,29600,38100
70,26200,32800
71,23400,28600
72,21200,25700
73,20000,24900
74,19400,25400
75,19100,26500
76,18600,27000
77,17400,25900
78,15400,22600
79,12900,18200
80+,82200,116600
