Age,Male,Female
0,722100,703800
1,696100,678800
2,676400,659300
3,664600,614500
4,627500,584700
5,609600,569400
6,601000,561500
7,594800,555800
8,586400,555700
9,572100,545200
10,558300,535200
11,545300,526300
12,533000,518200
13,520500,510300
14,506600,501100
15,489600,488900
16,468900,472800
17,445700,454300
18,421700,434200
19,398500,415100
20,376100,398600
21,355100,386200
22,335500,376500
23,316200,368000
24,297500,358200
25,281000,346200
26,267000,330600
27,255000,312700
28,244200,294300
29,233800,277000
30,223600,261300
31,213400,247900
32,203300,236200
33,193800,225200
34,185100,214300
35,176600,203700
36,168400,193300
37,160400,183200
38,152600,173500
39,145400,164400
40,139300,156400
41,134600,149800
42,131000,144100
43,128100,139500
44,125000,134900
45,120600,128900
46,114200,121000
47,106500,111800
48,98100,101800
49,90400,93000
50,84500,87100
51,80800,85200
52,78700,86100
53,77600,88600
54,75900,90000
55,72600,88100
56,66900,81500
57,59600,71700
58,51700,60600
59,44800,51100
60,39900,44700
61,37700,42900
62,37400,44200
63,38000,46800
64,38000,48300
65,37100,48000
66,34900,45100
67,31700,40400
68,28300,35100
69,25400,30700
70,23300,27900
71,22100,27200
72,21600,28000
73,21600,29500
74,21200,30400
75,20200,29500
76,18100,26200
77,15400,21300
78,14100,19600
79,12000,15600
80+,86300,122000
