Age,Male,Female
0,736300,717600
1,710700,693100
2,691000,673500
3,672900,655800
4,661900,612100
5,625400,582800
6,607900,567900
7,599400,560200
8,593300,554600
9,585200,554600
10,571100,544200
11,557400,534300
12,544400,525400
13,532100,517400
14,519600,509500
15,505600,500200
16,488600,488000
17,467800,471900
18,444500,453400
19,420500,433300
20,397300,414200
21,374800,397700
22,353900,385200
23,334300,375500
24,315000,366900
25,296400,357200
26,279900,345100
27,265900,329600
28,254000,311700
29,243200,293200
30,232700,276000
31,222600,260300
32,212400,246900
33,202300,235300
34,192900,224300
35,184100,213400
36,175600,202800
37,167400,192500
38,159400,182400
39,151700,172600
40,144400,163500
41,138300,155600
42,133700,148900
43,130000,143300
44,127200,138700
45,124100,134000
46,119700,128100
47,113300,120200
48,105600,111100
49,97100,101100
50,89500,92300
51,83500,86400
52,79900,84500
53,77800,85300
54,76600,87800
55,74900,89100
56,71600,87200
57,65900,80600
58,58700,70800
59,50900,59800
60,44100,50400
61,39100,44100
62,36900,42200
63,36600,43500
64,37100,45900
65,37000,47300
66,36100,46900
67,33800,44000
68,30600,39200
69,27200,34000
70,24400,29700
71,22300,26800
72,21100,26100
73,20500,26700
74,20400,28000
75,19900,28700
76,18800,27700
77,16700,24400
78,14100,19800
79,12900,18000
80+,83100,117900
