Age,Male,Female
0,763400,744200
1,739200,720900
2,720200,702000
3,702300,684500
4,685000,667600
5,668300,651400
6,658100,608800
7,622100,580100
8,605000,565500
9,596900,558000
10,591100,552700
11,583300,552900
12,569400,542600
13,555700,532800
14,542800,523900
15,530300,515800
16,517600,507800
17,503300,498500
18,486200,486200
19,465300,470100
20,441900,451500
21,417900,431400
22,394600,412200
23,372200,395700
24,351300,383200
25,331800,373500
26,312700,364900
27,294200,355000
28,277700,343000
29,263800,327500
30,251900,309600
31,241100,291200
32,230700,274000
33,220500,258400
34,210400,245000
35,200300,233400
36,190900,222500
37,182200,211600
38,173700,201100
39,165500,190700
40,157500,180600
41,149800,170900
42,142600,161800
43,136500,153800
44,131800,147200
45,128200,141600
46,125300,137000
47,122200,132400
48,117800,126500
49,111400,118600
50,103600,109500
51,95200,99600
52,87600,90800
53,81700,84900
54,78000,83000
55,75900,83700
56,74700,86000
57,72900,87200
58,69600,85300
59,64000,78700
60,56800,69000
61,49100,58100
62,42400,48900
63,37500,42600
64,35300,40700
65,34800,41700
66,35100,43900
67,34900,45000
68,33900,44500
69,31600,41500
70,28400,36800
71,25100,31600
72,22300,27400
73,20200,24600
74,18900,23700
75,18200,24000
76,17800,24900
77,17200,25200
78,16000,24000
79,14000,20800
80+,81200,116100
