Age,Male,Female,Year
1,840700,821100,2030
2,832300,813000,2030
3,823600,804600,2030
4,814100,795400,2030
5,803500,785100,2030
6,791700,773700,2030
7,778800,761000,2030
8,764900,747300,2030
9,750100,732900,2030
10,734700,717700,2030
11,719900,703200,2030
12,704800,688400,2030
13,689500,673300,2030
14,673800,658000,2030
15,658200,642800,2030
16,648600,601200,2030
17,612900,572700,2030
18,595700,558200,2030
19,587000,550500,2030
20,580600,544900,2030
21,571900,544700,2030
22,557200,534000,2030
23,542800,523800,2030
24,529100,514500,2030
25,516200,506100,2030
26,503000,497600,2030
27,488600,488000,2030
28,471400,475400,2030
29,450700,459200,2030
30,427600,440500,2030
31,404100,420500,2030
32,381300,401400,2030
33,359400,384900,2030
34,338900,372400,2030
35,319700,362400,2030
36,300900,353700,2030
37,282700,343700,2030
38,266500,331600,2030
39,252800,316100,2030
40,240900,298400,2030
41,230200,280100,2030
42,219800,263100,2030
43,209700,247600,2030
44,199600,234300,2030
45,189700,222700,2030
46,180400,211900,2030
47,171700,201100,2030
48,163400,190700,2030
49,155200,180500,2030
50,147200,170500,2030
51,139500,160900,2030
52,132200,151900,2030
53,126000,144000,2030
54,121100,137400,2030
55,117100,131700,2030
56,113900,126900,2030
57,110400,122100,2030
58,105800,116100,2030
59,99400,108300,2030
60,91800,99400,2030
61,83700,89800,2030
62,76300,81300,2030
63,70400,75400,2030
64,66500,73000,2030
65,63900,72900,2030
66,62000,74000,2030
67,59500,74000,2030
68,55800,71200,2030
69,50300,64600,2030
70,43700,55600,2030
71,36900,45800,2030
72,31000,37600,2030
73,26700,31900,2030
74,24300,29600,2030
75,23200,29300,2030
76,22500,29700,2030
77,21400,29300,2030
78,19700,27600,2030
79,17400,24500,2030
80+,83500,121000,2030
0,856300,835200,2031
1,843800,824200,2031
2,837000,817700,2031
3,829600,810700,2031
4,821500,802900,2031
5,812300,794000,2031
6,802000,784000,2031
7,790400,772700,2031
8,777600,760200,2031
9,763900,746600,2031
10,749300,732200,2031
11,733900,717100,2031
12,719200,702600,2031
13,704100,687800,2031
14,688700,672700,2031
15,673000,657400,2031
16,657200,642100,2031
17,647500,600500,2031
18,611700,571900,2031
19,594400,557400,2031
20,585600,549600,2031
21,579000,543900,2031
22,570300,543600,2031
23,555500,532900,2031
24,541200,522700,2031
25,527600,513400,2031
26,514600,504900,2031
27,501500,496500,2031
28,487000,486800,2031
29,469900,474200,2031
30,449200,458000,2031
31,426200,439300,2031
32,402700,419300,2031
33,379900,400200,2031
34,358000,383800,2031
35,337600,371200,2031
36,318400,361300,2031
37,299700,352500,2031
38,281500,342500,2031
39,265300,330400,2031
40,251600,314900,2031
41,239700,297100,2031
42,229000,278900,2031
43,218600,261900,2031
44,208500,246400,2031
45,198500,233100,2031
46,188600,221600,2031
47,179200,210800,2031
48,170600,200000,2031
49,162200,189600,2031
50,153900,179300,2031
51,145900,169300,2031
52,138200,159700,2031
53,130900,150700,2031
54,124700,142800,2031
55,119800,136200,2031
56,115800,130500,2031
57,112600,125700,2031
58,109000,120900,2031
59,104300,114800,2031
60,97900,107000,2031
61,90300,98100,2031
62,82200,88500,2031
63,74800,80000,2031
64,68900,74100,2031
65,65000,71600,2031
66,62300,71400,2031
67,60300,72300,2031
68,57700,72200,2031
69,53900,69300,2031
70,48500,62700,2031
71,42000,53700,2031
72,35300,44100,2031
73,29600,36000,2031
74,25300,30500,2031
75,22900,28100,2031
76,21700,27700,2031
77,20900,27900,2031
78,19800,27300,2031
79,18100,25600,2031
80+,86800,126400,2031
0,858400,837300,2032
1,848200,828400,2032
2,840200,820900,2032
3,834400,815500,2032
4,827500,809000,2032
5,819800,801500,2032
6,810900,793000,2032
7,800700,783100,2032
8,789300,771900,2032
9,776600,759400,2032
10,763000,745900,2032
11,748600,731600,2032
12,733300,716500,2032
13,718600,702100,2032
14,703400,687200,2032
15,687800,672000,2032
16,671900,656600,2032
17,656100,641300,2032
18,646200,599700,2032
19,610300,571100,2032
20,592900,556500,2032
21,584000,548700,2032
22,577400,542900,2032
23,568600,542600,2032
24,553900,531900,2032
25,539600,521600,2032
26,526000,512200,2032
27,513100,503700,2032
28,500000,495300,2032
29,485500,485600,2032
30,468400,473000,2032
31,447700,456800,2032
32,424700,438200,2032
33,401200,418200,2032
34,378600,399100,2032
35,356700,382600,2032
36,336300,370100,2032
37,317100,360100,2032
38,298400,351300,2032
39,280300,341300,2032
40,264100,329100,2032
41,250400,313600,2032
42,238500,295800,2032
43,227800,277600,2032
44,217400,260600,2032
45,207400,245200,2032
46,197300,232000,2032
47,187400,220500,2032
48,178100,209600,2032
49,169400,198900,2032
50,160900,188400,2032
51,152600,178100,2032
52,144600,168100,2032
53,136800,158500,2032
54,129500,149500,2032
55,123300,141600,2032
56,118500,135000,2032
57,114500,129300,2032
58,111200,124500,2032
59,107600,119600,2032
60,102800,113500,2032
61,96300,105600,2032
62,88700,96700,2032
63,80600,87200,2032
64,73300,78700,2032
65,67300,72800,2032
66,63300,70200,2032
67,60600,69800,2032
68,58500,70600,2032
69,55800,70200,2032
70,52000,67200,2032
71,46600,60600,2032
72,40200,51700,2032
73,33700,42300,2032
74,28100,34400,2032
75,23900,29000,2032
76,21500,26500,2032
77,20300,26100,2032
78,19400,26100,2032
79,18100,25300,2032
80+,90000,131400,2032
0,858900,837700,2033
1,850600,830700,2033
2,844800,825200,2033
3,837700,818700,2033
4,832400,813800,2033
5,825900,807700,2033
6,818400,800500,2033
7,809600,792100,2033
8,799600,782300,2033
9,788300,771200,2033
10,775800,758800,2033
11,762300,745300,2033
12,747900,731000,2033
13,732600,715900,2033
14,717800,701500,2033
15,702500,686500,2033
16,686800,671300,2033
17,670800,655900,2033
18,654800,640500,2033
19,644800,598900,2033
20,608900,570300,2033
21,591400,555600,2033
22,582400,547700,2033
23,575800,541900,2033
24,567000,541500,2033
25,552300,530800,2033
26,538000,520500,2033
27,524400,511100,2033
28,511500,502600,2033
29,498400,494100,2033
30,484000,484300,2033
31,466900,471800,2033
32,446200,455600,2033
33,423300,437000,2033
34,399800,417000,2033
35,377100,397900,2033
36,355300,381500,2033
37,334900,368900,2033
38,315800,358900,2033
39,297100,350100,2033
40,279000,340000,2033
41,262900,327800,2033
42,249100,312300,2033
43,237300,294500,2033
44,226500,276300,2033
45,216200,259400,2033
46,206200,244000,2033
47,196100,230800,2033
48,186200,219300,2033
49,176800,208400,2033
50,168100,197600,2033
51,159600,187100,2033
52,151200,176800,2033
53,143200,166800,2033
54,135500,157200,2033
55,128200,148300,2033
56,122000,140400,2033
57,117100,133800,2033
58,113100,128000,2033
59,109700,123200,2033
60,106000,118200,2033
61,101100,112100,2033
62,94600,104200,2033
63,87000,95300,2033
64,78900,85700,2033
65,71600,77300,2033
66,65700,71300,2033
67,61600,68700,2033
68,58800,68100,2033
69,56600,68700,2033
70,53900,68100,2033
71,50000,65000,2033
72,44600,58400,2033
73,38400,49700,2033
74,32000,40500,2033
75,26500,32800,2033
76,22400,27400,2033
77,20000,25000,2033
78,18700,24300,2033
79,17800,24200,2033
80+,93100,135500,2033
0,858400,837200,2034
1,851400,831300,2034
2,847300,827600,2034
3,842300,823100,2034
4,835800,817100,2034
5,830800,812500,2034
6,824500,806700,2034
7,817100,799600,2034
8,808500,791300,2034
9,798700,781600,2034
10,787500,770500,2034
11,775100,758200,2034
12,761600,744700,2034
13,747200,730400,2034
14,731800,715400,2034
15,716900,700800,2034
16,701500,685800,2034
17,685600,670600,2034
18,669500,655100,2034
19,653400,639700,2034
20,643400,598000,2034
21,607400,569400,2034
22,589800,554700,2034
23,580800,546700,2034
24,574100,540900,2034
25,565400,540500,2034
26,550800,529600,2034
27,536500,519300,2034
28,522900,509900,2034
29,510000,501400,2034
30,496900,492900,2034
31,482400,483100,2034
32,465300,470600,2034
33,444700,454400,2034
34,421800,435800,2034
35,398400,415800,2034
36,375700,396800,2034
37,353900,380300,2034
38,333600,367700,2034
39,314500,357700,2034
40,295800,348800,2034
41,277700,338700,2034
42,261600,326400,2034
43,247900,310900,2034
44,236000,293200,2034
45,225300,275000,2034
46,215000,258200,2034
47,205000,242800,2034
48,194900,229600,2034
49,184900,218000,2034
50,175500,207200,2034
51,166700,196300,2034
52,158100,185800,2034
53,149800,175500,2034
54,141800,165500,2034
55,134100,156000,2034
56,126800,147000,2034
57,120600,139100,2034
58,115700,132500,2034
59,111600,126700,2034
60,108100,121800,2034
61,104300,116700,2034
62,99400,110500,2034
63,92800,102600,2034
64,85200,93700,2034
65,77100,84200,2034
66,69800,75700,2034
67,63900,69800,2034
68,59800,67000,2034
69,56900,66300,2034
70,54600,66700,2034
71,51800,65900,2034
72,47900,62700,2034
73,42600,56100,2034
74,36400,47500,2034
75,30200,38500,2034
76,24900,31000,2034
77,20900,25800,2034
78,18600,23300,2034
79,17200,22600,2034
80+,95100,138500,2034
0,857600,836400,2035
1,851100,831000,2035
2,848200,828300,2035
3,845000,825500,2035
4,840400,821500,2035
5,834200,815800,2035
6,829400,811500,2035
7,823300,805800,2035
8,816100,798800,2035
9,807600,790600,2035
10,797900,781000,2035
11,786800,769900,2035
12,774400,757600,2035
13,760900,744200,2035
14,746500,729900,2035
15,730900,714700,2035
16,715900,700100,2035
17,700300,685000,2035
18,684400,669700,2035
19,668100,654200,2035
20,652000,638800,2035
21,641800,597100,2035
22,605800,568400,2035
23,588200,553700,2035
24,579200,545700,2035
25,572600,539800,2035
26,563800,539300,2035
27,549200,528500,2035
28,534900,518100,2035
29,521300,508700,2035
30,508400,500100,2035
31,495300,491700,2035
32,480800,481900,2035
33,463800,469400,2035
34,443200,453200,2035
35,420300,434600,2035
36,396900,414600,2035
37,374300,395600,2035
38,352500,379100,2035
39,332200,366500,2035
40,313100,356400,2035
41,294500,347500,2035
42,276400,337300,2035
43,260300,325000,2035
44,246600,309500,2035
45,234800,291900,2035
46,224100,273800,2035
47,213800,256900,2035
48,203700,241500,2035
49,193600,228300,2035
50,183500,216700,2035
51,174000,205800,2035
52,165200,194900,2035
53,156700,184400,2035
54,148300,174200,2035
55,140300,164200,2035
56,132600,154700,2035
57,125400,145700,2035
58,119200,137800,2035
59,114200,131100,2035
60,110000,125300,2035
61,106400,120300,2035
62,102500,115200,2035
63,97500,108900,2035
64,90900,101000,2035
65,83300,92100,2035
66,75200,82600,2035
67,68000,74100,2035
68,62000,68100,2035
69,57900,65300,2035
70,54900,64400,2035
71,52500,64500,2035
72,49700,63600,2035
73,45800,60200,2035
74,40400,53600,2035
75,34400,45200,2035
76,28400,36500,2035
77,23200,29200,2035
78,19400,24100,2035
79,17100,21700,2035
80+,96500,140000,2035
0,856100,834900,2036
1,850600,830400,2036
2,848100,828000,2036
3,845900,826300,2036
4,843200,824000,2036
5,838900,820300,2036
6,832900,814900,2036
7,828300,810700,2036
8,822300,805000,2036
9,815100,798100,2036
10,806800,789900,2036
11,797200,780400,2036
12,786100,769400,2036
13,773700,757000,2036
14,760200,743600,2036
15,745600,729200,2036
16,729900,714000,2036
17,714700,699300,2036
18,699000,684200,2036
19,683000,668900,2036
20,666700,653300,2036
21,650400,637800,2036
22,640200,596100,2036
23,604200,567400,2036
24,586600,552700,2036
25,577600,544600,2036
26,571000,538700,2036
27,562300,538200,2036
28,547600,527300,2036
29,533300,516900,2036
30,519800,507500,2036
31,506800,498900,2036
32,493700,490400,2036
33,479300,480700,2036
34,462200,468200,2036
35,441600,451900,2036
36,418700,433300,2036
37,395400,413400,2036
38,372900,394400,2036
39,351100,377900,2036
40,330800,365300,2036
41,311700,355100,2036
42,293100,346100,2036
43,275100,335900,2036
44,259000,323600,2036
45,245400,308200,2036
46,233500,290500,2036
47,222800,272500,2036
48,212400,255600,2036
49,202300,240200,2036
50,192100,227000,2036
51,182100,215400,2036
52,172500,204400,2036
53,163700,193500,2036
54,155100,183000,2036
55,146800,172800,2036
56,138900,162800,2036
57,131200,153300,2036
58,123900,144400,2036
59,117600,136400,2036
60,112600,129700,2036
61,108300,123800,2036
62,104600,118700,2036
63,100600,113500,2036
64,95500,107200,2036
65,88900,99200,2036
66,81300,90300,2036
67,73200,80800,2036
68,66000,72400,2036
69,60100,66300,2036
70,55900,63400,2036
71,52900,62400,2036
72,50400,62300,2036
73,47400,61100,2036
74,43500,57600,2036
75,38200,51100,2036
76,32300,42900,2036
77,26500,34400,2036
78,21500,27300,2036
79,17800,22400,2036
80+,97600,140600,2036
0,876900,855200,2037
1,849400,829100,2037
2,847700,827500,2037
3,845900,826100,2037
4,844200,824800,2037
5,841700,822800,2037
6,837700,819300,2037
7,831800,814000,2037
8,827300,810000,2037
9,821400,804400,2037
10,814400,797500,2037
11,806100,789400,2037
12,796500,779800,2037
13,785500,768800,2037
14,773000,756500,2037
15,759300,743000,2037
16,744600,728500,2037
17,728800,713200,2037
18,713400,698500,2037
19,697600,683400,2037
20,681500,668000,2037
21,665100,652300,2037
22,648800,636800,2037
23,638500,595100,2037
24,602600,566400,2037
25,585100,551600,2037
26,576100,543600,2037
27,569400,537600,2037
28,560700,537000,2037
29,546100,526100,2037
30,531800,515700,2037
31,518200,506300,2037
32,505200,497700,2037
33,492100,489200,2037
34,477700,479500,2037
35,460600,466900,2037
36,440000,450700,2037
37,417200,432100,2037
38,393900,412200,2037
39,371400,393100,2037
40,349700,376600,2037
41,329400,363900,2037
42,310300,353700,2037
43,291700,344700,2037
44,273700,334500,2037
45,257700,322300,2037
46,244100,306800,2037
47,232200,289200,2037
48,221500,271100,2037
49,211100,254300,2037
50,200900,238900,2037
51,190600,225600,2037
52,180500,213900,2037
53,171000,203000,2037
54,162100,192100,2037
55,153600,181600,2037
56,145300,171400,2037
57,137300,161400,2037
58,129600,151900,2037
59,122300,142900,2037
60,116000,135000,2037
61,110800,128200,2037
62,106400,122200,2037
63,102600,117000,2037
64,98600,111700,2037
65,93400,105400,2037
66,86700,97300,2037
67,79100,88400,2037
68,71100,78900,2037
69,63900,70500,2037
70,58000,64500,2037
71,53800,61400,2037
72,50700,60200,2037
73,48100,59900,2037
74,45100,58500,2037
75,41100,54900,2037
76,35900,48500,2037
77,30200,40400,2037
78,24500,32200,2037
79,19800,25400,2037
80+,99100,141300,2037
0,873400,851700,2038
1,870300,849400,2038
2,846600,826300,2038
3,845600,825700,2038
4,844200,824700,2038
5,842800,823700,2038
6,840500,821900,2038
7,836600,818500,2038
8,830800,813300,2038
9,826400,809300,2038
10,820600,803800,2038
11,813700,796900,2038
12,805500,788800,2038
13,795900,779300,2038
14,784700,768200,2038
15,772100,755800,2038
16,758300,742300,2038
17,743400,727800,2038
18,727500,712400,2038
19,712000,697600,2038
20,696100,682500,2038
21,679900,667000,2038
22,663400,651300,2038
23,647100,635800,2038
24,636900,594100,2038
25,601000,565400,2038
26,583500,550500,2038
27,574500,542400,2038
28,567900,536400,2038
29,559100,535800,2038
30,544500,524900,2038
31,530200,514500,2038
32,516600,505100,2038
33,503600,496500,2038
34,490500,488000,2038
35,476000,478200,2038
36,459000,465600,2038
37,438400,449400,2038
38,415700,430800,2038
39,392400,410900,2038
40,369900,391800,2038
41,348200,375300,2038
42,327900,362600,2038
43,308900,352300,2038
44,290300,343300,2038
45,272400,333100,2038
46,256400,320900,2038
47,242700,305400,2038
48,230800,287800,2038
49,220000,269700,2038
50,209600,252800,2038
51,199300,237400,2038
52,189000,224100,2038
53,178900,212400,2038
54,169300,201500,2038
55,160500,190600,2038
56,152000,180200,2038
57,143700,169900,2038
58,135700,160000,2038
59,128000,150400,2038
60,120600,141400,2038
61,114200,133400,2038
62,109000,126500,2038
63,104500,120500,2038
64,100600,115200,2038
65,96400,109800,2038
66,91200,103400,2038
67,84500,95300,2038
68,76900,86400,2038
69,68900,76900,2038
70,61800,68500,2038
71,55900,62500,2038
72,51600,59300,2038
73,48400,57900,2038
74,45700,57400,2038
75,42600,55800,2038
76,38600,52100,2038
77,33500,45700,2038
78,28000,37900,2038
79,22600,29900,2038
80+,102500,145600,2038
0,868900,847300,2039
1,867100,846100,2039
2,867600,846700,2039
3,844600,824500,2039
4,844000,824300,2039
5,842900,823600,2039
6,841600,822800,2039
7,839400,821100,2039
8,835600,817800,2039
9,829900,812700,2039
10,825600,808700,2039
11,819900,803200,2039
12,813100,796400,2039
13,804800,788300,2039
14,795100,778700,2039
15,783900,767600,2039
16,771100,755100,2039
17,757100,741500,2039
18,742100,726900,2039
19,726100,711600,2039
20,710500,696700,2039
21,694500,681500,2039
22,678300,666000,2039
23,661800,650300,2039
24,645500,634700,2039
25,635300,593000,2039
26,599500,564300,2039
27,582000,549400,2039
28,573000,541300,2039
29,566300,535300,2039
30,557500,534600,2039
31,542800,523700,2039
32,528500,513300,2039
33,515000,503900,2039
34,502000,495300,2039
35,488900,486700,2039
36,474400,476900,2039
37,457400,464400,2039
38,436800,448100,2039
39,414100,429500,2039
40,390800,409600,2039
41,368300,390500,2039
42,346700,373900,2039
43,326400,361200,2039
44,307400,350900,2039
45,288900,341900,2039
46,271000,331700,2039
47,255000,319400,2039
48,241300,304000,2039
49,229400,286300,2039
50,218500,268200,2039
51,207900,251300,2039
52,197600,235900,2039
53,187300,222500,2039
54,177200,210900,2039
55,167700,199900,2039
56,158900,189100,2039
57,150400,178700,2039
58,142100,168400,2039
59,134000,158400,2039
60,126200,148800,2039
61,118800,139800,2039
62,112300,131700,2039
63,107000,124800,2039
64,102400,118600,2039
65,98400,113300,2039
66,94100,107800,2039
67,88800,101300,2039
68,82100,93200,2039
69,74500,84200,2039
70,66600,74800,2039
71,59500,66400,2039
72,53600,60300,2039
73,49300,57100,2039
74,46100,55500,2039
75,43200,54700,2039
76,40100,53000,2039
77,36100,49200,2039
78,31100,42900,2039
79,25800,35300,2039
80+,107800,153200,2039
0,890000,867800,2040
1,862800,841900,2040
2,864500,843500,2040
3,865700,844900,2040
4,843100,823200,2040
5,842700,823200,2040
6,841800,822700,2040
7,840600,822000,2040
8,838500,820400,2040
9,834800,817200,2040
10,829200,812100,2040
11,825000,808200,2040
12,819300,802700,2040
13,812400,795900,2040
14,804100,787700,2040
15,794300,778100,2040
16,782800,766900,2040
17,769900,754400,2040
18,755800,740700,2040
19,740700,726100,2040
20,724500,710700,2040
21,708900,695800,2040
22,692900,680500,2040
23,676600,665000,2040
24,660100,649200,2040
25,643900,633600,2040
26,633700,591900,2040
27,597900,563200,2040
28,580500,548300,2040
29,571400,540200,2040
30,564700,534100,2040
31,555900,533400,2040
32,541200,522500,2040
33,526900,512100,2040
34,513300,502700,2040
35,500400,494100,2040
36,487200,485500,2040
37,472700,475700,2040
38,455700,463100,2040
39,435200,446800,2040
40,412400,428200,2040
41,389200,408200,2040
42,366800,389100,2040
43,345100,372500,2040
44,324900,359800,2040
45,306000,349500,2040
46,287500,340500,2040
47,269500,330300,2040
48,253500,318000,2040
49,239800,302500,2040
50,227800,284800,2040
51,216800,266600,2040
52,206200,249700,2040
53,195900,234300,2040
54,185600,220900,2040
55,175500,209300,2040
56,166000,198400,2040
57,157200,187600,2040
58,148700,177100,2040
59,140300,166800,2040
60,132200,156800,2040
61,124300,147200,2040
62,116800,138000,2040
63,110300,129900,2040
64,104900,122900,2040
65,100200,116700,2040
66,96100,111200,2040
67,91700,105600,2040
68,86300,99000,2040
69,79600,90900,2040
70,72000,81900,2040
71,64200,72600,2040
72,57100,64200,2040
73,51200,58100,2040
74,46900,54700,2040
75,43600,53000,2040
76,40700,52000,2040
77,37500,50000,2040
78,33500,46200,2040
79,28700,39900,2040
80+,115300,164100,2040
